date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:10	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:10%20GMT	http://www.playshrigoagems.com/images/btn_delete.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/btn_delete.20.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:11	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:11%20GMT	http://www.playshrigoagems.com/images/arrow_down.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/arrow_down.21.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:11	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:11%20GMT	http://www.playshrigoagems.com/images/arrow_up.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/arrow_up.22.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:11	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:11%20GMT	http://www.playshrigoagems.com/images/preview_bg.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/preview_bg.23.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:12	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:12%20GMT	http://www.playshrigoagems.com/images/loader.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/loader.24.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:12	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:12%20GMT	http://www.playshrigoagems.com/images/icon_calendar.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/icon_calendar.25.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:13	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:12%20GMT	http://www.playshrigoagems.com/images/popup_bg.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/popup_bg.26.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:13	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:13%20GMT	http://www.playshrigoagems.com/images/popup_bottom.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/popup_bottom.27.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:26:13	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:56:13%20GMT	http://www.playshrigoagems.com/images/loading.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/loading.28.delayed	(from http://www.playshrigoagems.com/css/admin.css)
15:27:22	1879244/1879244	---M--	200	added ('OK')	application/vnd.android.package-archive	etag:%221caccc-5a2cbbf6b6d10%22	http://www.playshrigoagems.com/apks/PlayGoaStar3.apk	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/apks/PlayGoaStar3.apk	(from http://www.playshrigoagems.com/)
15:27:22	7082/7082	---M-Z	200	added ('OK')	text/css	etag:%221baa-5a2cbaf69c117-gzip%22	http://www.playshrigoagems.com/css/style_table.css	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/css/style_table.css	(from http://www.playshrigoagems.com/results/result_old)
15:27:23	3095/3095	---M-Z	200	added ('OK')	application/javascript	etag:%22c17-5a498670404df-gzip%22	http://www.playshrigoagems.com/js/homejs.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/homejs.js	(from http://www.playshrigoagems.com/results/result_old)
15:27:23	5175/5175	---M-Z	200	added ('OK')	application/javascript	etag:%221437-5a2cbf5fcca1b-gzip%22	http://www.playshrigoagems.com/js/ui/jquery.ui.core.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/ui/jquery.ui.core.js	(from http://www.playshrigoagems.com/results/result_old)
15:27:23	4122/4122	---M-Z	200	added ('OK')	application/javascript	etag:%22101a-5a2cbf750f812-gzip%22	http://www.playshrigoagems.com/js/ui/jquery.ui.widget.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/ui/jquery.ui.widget.js	(from http://www.playshrigoagems.com/results/result_old)
15:27:24	48840/48840	---M-Z	200	added ('OK')	application/javascript	etag:%22bec8-5a2cbf6349f14-gzip%22	http://www.playshrigoagems.com/js/ui/jquery.ui.datepicker.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/ui/jquery.ui.datepicker.js	(from http://www.playshrigoagems.com/results/result_old)
15:27:24	42418/42418	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202020%2009:57:24%20GMT	http://www.playshrigoagems.com/login/logout	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/login/logout.html	(from http://www.playshrigoagems.com/results/result_old)
15:27:24	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:24%20GMT	http://www.playshrigoagems.com/users/resetpassword	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/users/resetpassword.2f.delayed	(from http://www.playshrigoagems.com/results/result_old)
15:27:24	24221/24221	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202020%2009:57:24%20GMT	http://www.playshrigoagems.com/results/resultSummaryOld	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/results/resultSummaryOld.html	(from http://www.playshrigoagems.com/results/result_old)
15:27:25	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:25%20GMT	http://www.playshrigoagems.com/images/check0.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/check0.31.delayed	(from http://www.playshrigoagems.com/css/style_table.css)
15:27:25	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:25%20GMT	http://www.playshrigoagems.com/images/check1.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/check1.32.delayed	(from http://www.playshrigoagems.com/css/style_table.css)
15:27:25	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:25%20GMT	http://www.playshrigoagems.com/images/check2.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/check2.33.delayed	(from http://www.playshrigoagems.com/css/style_table.css)
15:27:26	69964/69964	---M-Z	200	added ('OK')	application/javascript	etag:%221114c-5a2cbe8f877a0-gzip%22	http://www.playshrigoagems.com/plugins/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/bootstrap/bootstrap.min.js	(from http://www.playshrigoagems.com/login/logout)
15:27:26	44394/44394	---M-Z	200	added ('OK')	application/javascript	etag:%22ad6a-5a2cbea8f6f3f-gzip%22	http://www.playshrigoagems.com/plugins/slick/slick.min.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/slick/slick.min.js	(from http://www.playshrigoagems.com/login/logout)
15:27:27	19832/19832	---M-Z	200	added ('OK')	application/javascript	etag:%224d78-5a2cbea1d6005-gzip%22	http://www.playshrigoagems.com/plugins/shuffle/shuffle.min.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/shuffle/shuffle.min.js	(from http://www.playshrigoagems.com/login/logout)
15:27:27	5193/5193	---M-Z	200	added ('OK')	application/javascript	etag:%221449-5a2cbb44c6142-gzip%22	http://www.playshrigoagems.com/js/script.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/script.js	(from http://www.playshrigoagems.com/login/logout)
15:27:27	137199/137199	---M-Z	200	added ('OK')	text/css	etag:%22217ef-5a2cbeac74438-gzip%22	http://www.playshrigoagems.com/plugins/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/bootstrap/bootstrap.min.css	(from http://www.playshrigoagems.com/login/logout)
15:27:27	1284/1284	---M-Z	200	added ('OK')	text/css	etag:%22504-5a2cbea6e4ec7-gzip%22	http://www.playshrigoagems.com/plugins/slick/slick.css	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/slick/slick.css	(from http://www.playshrigoagems.com/login/logout)
15:27:28	13847/13847	---M-Z	200	added ('OK')	text/css	etag:%223617-5a2cbeae55771-gzip%22	http://www.playshrigoagems.com/plugins/themify-icons/themify-icons.css	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/themify-icons/themify-icons.css	(from http://www.playshrigoagems.com/login/logout)
15:27:28	13070/13070	---M-Z	200	added ('OK')	text/css	etag:%22330e-5a2cbaf2716af-gzip%22	http://www.playshrigoagems.com/css/style.css	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/css/style.css	(from http://www.playshrigoagems.com/login/logout)
15:27:28	76531/76531	---M-Z	200	added ('OK')	application/javascript	etag:%2212af3-5a2cbb35dcf0a-gzip%22	http://www.playshrigoagems.com/js/jquery.ui.datepicker.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/jquery.ui.datepicker.js	(from http://www.playshrigoagems.com/login/logout)
15:27:29	8455/8455	---M-Z	200	added ('OK')	application/javascript	etag:%222107-5a2cbb2ccc621-gzip%22	http://www.playshrigoagems.com/js/jquery.ui.core.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/jquery.ui.core.js	(from http://www.playshrigoagems.com/login/logout)
15:27:29	0/-1	---M--	302	error ('')			http://www.playshrigoagems.com/users/resetpassword	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/users/resetpassword.3f.delayed	(from http://www.playshrigoagems.com/login/logout)
15:27:29	7003/7003	---M-Z	200	added ('OK')	application/javascript	etag:%221b5b-5a2cbb4274d12-gzip%22	http://www.playshrigoagems.com/js/jquery.ui.widget.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/jquery.ui.widget.js	(from http://www.playshrigoagems.com/login/logout)
15:27:29	10356/10356	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202020%2009:57:29%20GMT	http://www.playshrigoagems.com/login	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/login.html	(from http://www.playshrigoagems.com/login/logout)
15:27:29	54398/54398	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202020%2009:57:29%20GMT	http://www.playshrigoagems.com/results	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/results.html	(from http://www.playshrigoagems.com/login/logout)
15:27:30	22747/22747	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202020%2009:57:30%20GMT	http://www.playshrigoagems.com/results/resultSummary	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/results/resultSummary.html	(from http://www.playshrigoagems.com/login/logout)
